Price,Close,High,Low,Open,Volume
Ticker,MOH,MOH,MOH,MOH,MOH
Date,,,,,
2003-06-30,13.733332633972168,14.15999984741211,13.333333015441895,14.0,8567400
2003-07-07,14.666666984558105,15.333333015441895,13.733332633972168,13.733332633972168,3306000
2003-07-14,15.699999809265137,15.699999809265137,14.666666984558105,14.666666984558105,1293600
2003-07-21,16.03333282470703,16.866666793823242,15.673333168029785,15.733332633972168,689400
2003-07-28,15.58666706085205,16.833332061767578,15.40666675567627,16.066667556762695,507900
2003-08-04,15.300000190734863,15.533332824707031,14.5,15.533332824707031,865200
2003-08-11,14.366666793823242,15.466667175292969,14.033332824707031,15.266667366027832,1573950
2003-08-18,15.966667175292969,16.133333206176758,14.399999618530273,14.399999618530273,800850
2003-08-25,15.833333015441895,16.100000381469727,15.433333396911621,15.966667175292969,594000
2003-09-01,15.260000228881836,15.859999656677246,14.633333206176758,15.833333015441895,702600
2003-09-08,16.733333587646484,16.799999237060547,15.333333015441895,15.333333015441895,525450
2003-09-15,16.65999984741211,17.666667938232422,16.399999618530273,16.85333251953125,559650
2003-09-22,16.079999923706055,17.0,16.066667556762695,16.700000762939453,300150
2003-09-29,18.366666793823242,18.5,16.113332748413086,16.133333206176758,1912050
2003-10-06,17.933332443237305,18.899999618530273,17.786666870117188,18.433332443237305,336300
2003-10-13,17.99333381652832,18.733333587646484,17.773332595825195,17.866666793823242,432900
2003-10-20,18.833332061767578,19.040000915527344,17.433332443237305,17.866666793823242,287700
2003-10-27,18.600000381469727,19.333332061767578,18.433332443237305,18.899999618530273,169950
2003-11-03,16.066667556762695,18.69333267211914,15.733332633972168,18.666667938232422,1481400
2003-11-10,15.373332977294922,16.333332061767578,14.5,16.333332061767578,928800
2003-11-17,16.19333267211914,16.633333206176758,15.233332633972168,15.300000190734863,262500
2003-11-24,15.399999618530273,16.266666412353516,15.333333015441895,16.266666412353516,785100
2003-12-01,15.353333473205566,15.640000343322754,15.233332633972168,15.366666793823242,784350
2003-12-08,15.346667289733887,15.453332901000977,15.30666732788086,15.34000015258789,260400
2003-12-15,15.493332862854004,15.546667098999023,15.333333015441895,15.41333293914795,176700
2003-12-22,16.293333053588867,16.31999969482422,15.513333320617676,15.533332824707031,97200
2003-12-29,16.666667938232422,16.98666763305664,16.18666648864746,16.299999237060547,439950
2004-01-05,15.760000228881836,16.753332138061523,15.5,16.666667938232422,1406400
2004-01-12,17.333332061767578,17.81333351135254,15.733332633972168,15.75333309173584,894300
2004-01-19,17.34000015258789,17.46666717529297,17.200000762939453,17.333332061767578,776550
