Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,SAP,SAP,SAP,SAP,SAP,SAP,
1995-09-18,9.112164497375488,12.875,13.75,12.875,13.25,113600,SAP
1995-09-25,9.731437683105469,13.75,14.0,13.5,13.5,32400,SAP
1995-10-02,9.377564430236816,13.25,14.0,13.25,13.75,161200,SAP
1995-10-09,9.554502487182617,13.5,13.5,12.5625,13.375,38000,SAP
1995-10-16,8.758294105529785,12.375,13.5,12.25,13.375,604000,SAP
1995-10-23,8.492892265319824,12.0,12.625,12.0,12.1875,72400,SAP
1995-10-30,9.20063304901123,13.0,13.0,12.625,12.625,199600,SAP
1995-11-06,9.333332061767578,13.1875,13.53125,13.1875,13.1875,74000,SAP
1995-11-13,9.731437683105469,13.75,13.75,13.375,13.375,112000,SAP
1995-11-20,9.554502487182617,13.5,13.53125,13.375,13.5,117200,SAP
1995-11-27,9.466034889221191,13.375,13.75,13.375,13.5625,126800,SAP
1995-12-04,9.75355339050293,13.78125,13.78125,13.5,13.5,153200,SAP
1995-12-11,9.90837287902832,14.0,14.0,13.875,13.875,152000,SAP
1995-12-18,9.023695945739746,12.75,12.90625,12.625,12.625,202000,SAP
1995-12-25,9.04581069946289,12.78125,12.875,12.78125,12.875,11200,SAP
1996-01-01,9.377564430236816,13.25,13.625,13.25,13.28125,61200,SAP
1996-01-08,9.112164497375488,12.875,13.6875,12.625,13.0,248400,SAP
1996-01-15,9.04581069946289,12.78125,12.9375,12.21875,12.9375,120400,SAP
1996-01-22,9.244865417480469,13.0625,13.125,12.75,12.9375,81600,SAP
1996-01-29,8.80252742767334,12.4375,12.875,12.1875,12.75,171600,SAP
1996-02-05,9.466034889221191,13.375,13.375,12.28125,12.375,106000,SAP
1996-02-12,9.20063304901123,13.0,13.21875,12.875,13.0,55600,SAP
1996-02-19,9.399685859680176,13.28125,13.28125,12.5,12.5,66800,SAP
1996-02-26,9.311217308044434,13.15625,13.15625,12.9375,12.9375,36000,SAP
1996-03-04,8.050551414489746,11.375,12.6875,11.375,12.6875,91200,SAP
