Price,Close,High,Low,Open,Volume
Ticker,PRU,PRU,PRU,PRU,PRU
Date,,,,,
2001-12-10,14.075632095336914,14.274815602518215,13.753144426133556,13.80056924299637,59142300
2001-12-17,14.69688892364502,14.69688892364502,13.938094859175049,14.203673369698857,21315100
2001-12-24,15.62166976928711,15.697549091801156,14.58307120316877,14.58307120316877,12055500
2001-12-31,15.152169227600098,16.00107051529866,14.616270416877326,15.70229484801531,16694200
2002-01-07,14.654211044311523,15.199594129064517,14.583074277526883,15.057320595495238,9510500
2002-01-14,14.345946311950684,14.772767674205605,14.004489403057297,14.583069391487058,10274700
2002-01-21,14.431314468383789,15.033607462047073,14.179963613939673,14.459768991954805,10221200
2002-01-28,14.511931419372559,14.786994132154764,14.132533981517756,14.535643363496682,15684300
2002-02-04,14.715861320495605,14.986181535646875,14.464510484792937,14.511935290243827,10899100
2002-02-11,14.938758850097656,15.30867039509088,14.545134446737523,14.559362161757669,11573300
2002-02-18,14.341206550598145,14.749058616737104,14.227387558675096,14.701633810630932,8852000
2002-02-25,14.630494117736816,14.649463493640793,14.260581789805295,14.345946242755089,11804000
2002-03-04,15.057318687438965,15.20433567865744,14.421828629526125,14.644724045086946,12239100
2002-03-11,14.749056816101074,15.128453409526001,14.511933719072289,15.104741461644254,12073500
2002-03-18,14.820197105407715,15.071547973954525,14.621013620128913,14.96247063579841,11144300
2002-03-25,14.72533893585205,14.934007443264475,14.67791505628095,14.796476564313744,7070000
2002-04-01,15.322895050048828,15.507850774690365,14.668434801304766,14.77276863746487,11603200
2002-04-08,15.417747497558594,15.744978625320732,15.270732292082796,15.32289967819596,10035000
2002-04-15,15.128454208374023,15.507851726385613,15.01463522433641,15.460426019012179,8628300
2002-04-22,15.066801071166992,15.697547537920885,15.033603983922344,15.17587747341449,10306500
2002-04-29,15.223302841186523,15.294440497374751,15.057317388888322,15.104742191496182,8807800
2002-05-06,15.645381927490234,16.005808220296384,14.630494509685178,15.185362564170898,12161800
2002-05-13,16.18602180480957,16.228704031197914,15.531561603223436,15.697547034119495,11105300
2002-05-20,16.02952003479004,16.3140688196015,15.55527386920983,15.934670439852887,11655700
2002-05-27,16.35675621032715,16.503771410238844,15.721266075475532,16.100662765885573,12581000
2002-06-03,16.745635986328125,17.072865252387427,16.05323507617193,16.356754200307773,13704100
2002-06-10,16.095916748046875,16.916362526853767,15.465170189044072,16.835741534355822,11680300
2002-06-17,15.72126579284668,16.352012440106737,15.63115783673375,16.124374429953072,10972700
2002-06-24,15.820855140686035,16.124372450293443,14.701633704679317,15.69755010296686,35062300
2002-07-01,14.862874984741211,15.626411605050906,14.417083333328769,15.626411605050906,13540300
2002-07-08,15.081029891967773,15.251758825807219,14.255841552665293,15.01463570860928,29443000
2002-07-15,15.389286041259766,15.389286041259766,14.30326205681519,15.033601472397546,77105700
2002-07-22,14.345946311950684,15.099997777240576,13.278892454036995,14.938754010791621,37767000
2002-07-29,14.839167594909668,15.65012835742725,14.46451257277367,14.535649338942273,17602600
2002-08-05,15.593216896057129,15.631155654566637,13.99026409642552,14.677921507054043,15646600
2002-08-12,15.17587661743164,15.910957779267392,14.834419719178413,15.389287744185367,9772000
2002-08-19,14.900816917419434,15.593216899136618,14.82019502032674,15.175879700814582,11712700
2002-08-26,14.322235107421875,15.180619541963065,13.990262417060336,15.014634101335105,13276800
2002-09-02,14.099336624145508,14.369656761943341,13.421164542552953,14.08510981976836,16679000
2002-09-09,14.00449275970459,14.696891883722195,13.838506383334362,14.094598900247387,12238600
2002-09-16,13.046512603759766,14.156248744419136,12.899496540294598,14.037687198661107,14433600
2002-09-23,13.392705917358398,13.847982513252147,12.880520312323176,13.089188789797495,12960300
2002-09-30,13.4116792678833,14.246352464772968,12.923205487134334,13.39270899078116,12858900
2002-10-07,13.032286643981934,13.516018032773914,11.974717730790923,13.335804857006885,19876400
2002-10-14,14.350691795349121,14.355434366448947,12.814134036570922,13.032286879845167,14300200
2002-10-21,14.23213005065918,14.417085798437295,13.615609383810568,14.322237091304926,11871700
2002-10-28,13.99974536895752,14.445536060591285,13.207754329942949,14.232125854056653,11309400
2002-11-04,14.345946311950684,14.701630931255245,13.658289019474092,14.085111286281776,13917800
2002-11-11,14.227384567260742,14.530901815238758,13.824275156944472,14.322234159530248,8999600
2002-11-18,14.289037704467773,14.369659595194198,13.610866393713554,14.22738609605479,11788300
2002-11-25,14.4609375,14.509012608712691,14.013840547797917,14.398440500543005,6364700
2002-12-02,15.004182815551758,15.105140629238507,14.206139178416542,14.542664001430541,11557300
2002-12-09,15.090725898742676,15.417635692180044,14.686896261785558,14.903233894782893,11660100
2002-12-16,15.340712547302246,15.629161439947984,14.68689310113102,15.08110836052975,19081700
2002-12-23,15.042652130126953,15.383983831243357,14.725356620007219,14.7349718299714,5114700
