Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,DIA,DIA,DIA,DIA,DIA,DIA,
1998-01-19,42.750816345214844,77.0,78.84375,76.3125,77.8125,6940500,DIA
1998-01-26,43.99129104614258,79.234375,80.25,76.9375,77.375,6372600,DIA
1998-02-02,45.587528228759766,82.109375,82.171875,80.40625,80.625,4465500,DIA
1998-02-09,46.43770980834961,83.640625,84.109375,81.4375,82.09375,3584700,DIA
1998-02-16,46.793426513671875,84.28125,84.71875,83.3125,84.3125,2959000,DIA
1998-02-23,47.5220832824707,85.59375,85.953125,83.53125,85.0,2920400,DIA
1998-03-02,47.76498031616211,86.03125,86.125,84.21875,85.75,4062500,DIA
1998-03-09,47.834388732910156,86.15625,87.25,85.59375,85.625,2691200,DIA
1998-03-16,49.49999237060547,89.15625,89.40625,86.34375,86.5625,3128100,DIA
1998-03-23,49.00553512573242,88.265625,90.0625,87.875,89.1875,2985000,DIA
1998-03-30,50.0205192565918,90.09375,90.578125,87.6875,88.28125,2490000,DIA
1998-04-06,50.17668533325195,90.375,91.25,88.828125,90.875,2719000,DIA
1998-04-13,50.91402053833008,91.703125,92.015625,89.5625,90.734375,1666900,DIA
1998-04-20,50.4604606628418,90.546875,92.109375,90.0625,91.59375,2592700,DIA
1998-04-27,51.07872772216797,91.65625,91.65625,88.390625,89.4375,3434100,DIA
1998-05-04,50.67817687988281,90.9375,92.578125,89.6875,91.984375,2764800,DIA
1998-05-11,50.599849700927734,90.796875,92.359375,90.609375,91.28125,2485300,DIA
1998-05-18,50.89350891113281,91.234375,92.171875,90.0,90.875,1785300,DIA
1998-05-25,49.5599479675293,88.84375,91.84375,87.9375,91.734375,2202500,DIA
1998-06-01,50.68435287475586,90.859375,90.859375,87.53125,88.625,2960700,DIA
1998-06-08,49.4030876159668,88.5625,91.25,86.875,90.75,2617700,DIA
1998-06-15,48.57503890991211,87.078125,89.171875,85.9375,87.5625,3034100,DIA
1998-06-22,50.13853073120117,89.6875,90.296875,86.796875,87.1875,1286800,DIA
1998-06-29,50.479190826416016,90.296875,90.671875,89.359375,90.1875,1304300,DIA
1998-07-06,51.00324630737305,91.234375,91.984375,90.03125,90.3125,748400,DIA
1998-07-13,52.17369842529297,93.328125,93.625,90.796875,91.375,1386500,DIA
1998-07-20,49.99875259399414,89.4375,93.578125,88.53125,93.546875,1576400,DIA
1998-07-27,49.49213790893555,88.53125,90.375,88.015625,88.96875,2038300,DIA
1998-08-03,48.164363861083984,86.15625,88.921875,83.53125,88.625,4103000,DIA
1998-08-10,47.13370132446289,84.3125,86.40625,83.0625,86.0,3242900,DIA
1998-08-17,47.84996795654297,85.59375,87.90625,83.1875,84.09375,3560200,DIA
1998-08-24,45.26295852661133,80.78125,86.875,80.125,85.8125,4367200,DIA
1998-08-31,43.07424545288086,76.875,81.40625,73.875,81.21875,4980300,DIA
1998-09-07,44.10730743408203,78.71875,80.65625,75.0,79.1875,4446900,DIA
1998-09-14,44.15985870361328,78.8125,81.6875,78.125,79.421875,2531400,DIA
1998-09-21,44.95744705200195,80.125,81.875,76.15625,76.28125,2665300,DIA
1998-09-28,43.852813720703125,78.15625,81.640625,75.0625,80.9375,4521000,DIA
1998-10-05,44.43144607543945,79.1875,79.375,74.46875,77.34375,6230800,DIA
1998-10-12,47.236915588378906,84.1875,88.0,78.6875,80.53125,3772900,DIA
