Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ,
1999-03-08,42.28403091430664,50.0625,51.734375,49.65625,51.125,23664200,QQQ
1999-03-15,43.260616302490234,51.21875,53.25,49.90625,50.4375,27248600,QQQ
1999-03-22,43.70933532714844,51.75,52.46875,48.5,51.4375,40824200,QQQ
1999-03-29,45.24021911621094,53.5625,54.1875,52.0625,52.375,27026800,QQQ
1999-04-05,47.1406135559082,55.8125,56.25,53.8125,54.4296875,38042400,QQQ
1999-04-12,43.894100189208984,51.96875,55.90625,51.125,54.5,77074600,QQQ
1999-04-19,46.718292236328125,55.3125,55.71875,48.84375,52.3125,68509600,QQQ
1999-04-26,45.372188568115234,53.71875,57.28125,51.8125,55.6875,64024000,QQQ
1999-05-03,44.73872375488281,52.96875,54.375,51.03125,53.5625,70784600,QQQ
1999-05-10,45.10824203491211,53.40625,56.0,52.6875,53.3125,53981800,QQQ
1999-05-17,44.65951919555664,52.875,54.9921875,52.4140625,52.9375,44116000,QQQ
1999-05-24,43.9468994140625,52.03125,53.0625,48.9375,52.96875,90417600,QQQ
1999-05-31,44.39558029174805,52.5625,52.7421875,49.5703125,51.9375,43091800,QQQ
1999-06-07,43.73572540283203,51.78125,54.03125,51.3125,52.9296875,53971000,QQQ
1999-06-14,46.50716018676758,55.0625,55.21875,50.6875,51.96875,60015800,QQQ
1999-06-21,46.19041442871094,54.6875,57.09375,54.1875,55.4375,54659400,QQQ
1999-06-28,49.62169647216797,58.75,59.9375,54.703125,55.15625,46258800,QQQ
1999-07-05,50.54551315307617,59.84375,59.90625,57.9375,59.0625,34746600,QQQ
1999-07-12,51.83884048461914,61.375,61.71875,58.78125,60.0625,32409200,QQQ
1999-07-19,48.38116455078125,57.28125,61.625,56.6875,61.625,59914200,QQQ
1999-07-26,47.80048370361328,56.59375,58.4375,55.78125,56.5,58595800,QQQ
1999-08-02,46.73151397705078,55.328125,57.8125,53.75,56.6875,66962400,QQQ
1999-08-09,48.69790267944336,57.65625,57.71875,52.9375,55.53125,64909600,QQQ
1999-08-16,48.96184158325195,57.96875,58.84375,56.6953125,57.625,46992800,QQQ
1999-08-23,50.571903228759766,59.875,61.75,58.3671875,58.5,54283800,QQQ
1999-08-30,52.921016693115234,62.65625,62.6796875,58.125,60.125,64262600,QQQ
1999-09-06,53.31694412231445,63.125,63.7421875,61.03125,62.53125,46241000,QQQ
1999-09-13,53.475318908691406,63.3125,63.4921875,60.1953125,63.0625,63236800,QQQ
1999-09-20,50.74346923828125,60.078125,63.75,58.625,63.5,74231600,QQQ
1999-09-27,50.855674743652344,60.2109375,61.375,58.75,60.9375,85999400,QQQ
1999-10-04,53.851417541503906,63.7578125,63.9375,60.1875,60.53125,95595600,QQQ
1999-10-11,50.571903228759766,59.875,64.953125,59.5078125,63.9375,111602800,QQQ
1999-10-18,52.340354919433594,61.96875,63.25,57.4140625,59.9375,112902600,QQQ
1999-10-25,55.534080505371094,65.75,66.25,60.4453125,61.6875,75726800,QQQ
1999-11-01,57.592838287353516,68.1875,69.21875,65.1953125,65.75,76452400,QQQ
1999-11-08,60.97136688232422,72.1875,72.25,68.21875,68.4375,89229600,QQQ
1999-11-15,64.00674438476562,75.78125,75.90625,71.6875,72.25,87397200,QQQ
1999-11-22,65.61679077148438,77.6875,78.78125,74.25,75.9375,69552400,QQQ
1999-11-29,66.8309326171875,79.125,80.1875,73.5,77.53125,106067200,QQQ
1999-12-06,67.4908218383789,79.90625,80.5,77.25,79.4296875,107852200,QQQ
1999-12-13,70.76372528076172,83.78125,84.875,77.9375,79.6328125,126878600,QQQ
1999-12-20,76.20099639892578,90.21875,90.75,83.6875,84.40625,81253000,QQQ
1999-12-27,77.17760467529297,91.375,93.75,87.90625,90.3125,87492200,QQQ
2000-01-03,76.01622772216797,90.0,96.1875,79.75,96.1875,177901400,QQQ
2000-01-10,78.86685943603516,93.375,93.9375,86.0,91.0,138336000,QQQ
2000-01-17,81.29513549804688,96.25,96.875,91.4375,92.0625,80414600,QQQ
2000-01-24,72.6377182006836,86.0,97.625,84.75,97.4375,150765200,QQQ
2000-01-31,82.06057739257812,97.15625,98.2421875,83.5,85.875,145821200,QQQ
2000-02-07,84.35688781738281,99.875,102.875,96.25,97.25,118236200,QQQ
2000-02-14,83.14275360107422,98.4375,103.25,95.875,99.9921875,134049400,QQQ
2000-02-21,87.893798828125,104.0625,107.5,96.25,99.0,150882800,QQQ
2000-02-28,93.80613708496094,111.0625,111.125,100.5,103.25,151419600,QQQ
2000-03-06,96.70951843261719,114.5,116.4375,106.28125,111.75,166104000,QQQ
2000-03-13,93.594970703125,110.8125,114.125,101.0,110.0,214558200,QQQ
2000-03-20,99.2961654663086,117.5625,120.5,103.5625,111.0,120262900,QQQ
2000-03-27,92.48643493652344,109.5,119.5,103.5,118.0,130957000,QQQ
2000-04-03,90.05809783935547,106.625,109.125,88.3125,107.765625,186541200,QQQ
2000-04-10,67.88668060302734,80.375,107.6875,78.0,107.625,203491500,QQQ
2000-04-17,73.69348907470703,87.25,93.625,78.0,78.015625,140997500,QQQ
2000-04-24,80.02821350097656,94.75,94.75,79.875,83.4375,147381200,QQQ
2000-05-01,77.23037719726562,91.4375,96.875,85.515625,95.75,108425200,QQQ
2000-05-08,71.47636413574219,84.625,90.75,79.5,90.5,111118000,QQQ
2000-05-15,68.99527740478516,81.6875,91.5,81.3125,84.8125,109290100,QQQ
