Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,RIO,RIO,RIO,RIO,RIO,RIO,
1990-06-25,1.770600438117981,10.0625,10.09375,9.96875,10.09375,245600,RIO
1990-07-02,1.715612769126892,9.75,10.0625,9.65625,10.0,144000,RIO
1990-07-09,1.7815989255905151,10.125,10.125,9.78125,9.8125,56800,RIO
1990-07-16,1.8145915269851685,10.3125,10.4375,10.15625,10.15625,50400,RIO
1990-07-23,1.8035939931869507,10.25,10.375,10.25,10.28125,14800,RIO
1990-07-30,1.8200896978378296,10.34375,10.4375,10.28125,10.28125,42000,RIO
1990-08-06,1.743107557296753,9.90625,10.3125,9.6875,10.3125,146800,RIO
1990-08-13,1.7596036195755005,10.0,10.375,9.875,9.96875,186800,RIO
1990-08-20,1.6166356801986694,9.1875,9.6875,9.15625,9.6875,30800,RIO
1990-08-27,1.594641089439392,9.0625,9.25,9.0625,9.25,29600,RIO
1990-09-03,1.5121595859527588,8.59375,8.90625,8.5,8.875,24000,RIO
1990-09-10,1.4406758546829224,8.1875,8.59375,8.1875,8.5625,71200,RIO
1990-09-17,1.3526949882507324,7.6875,8.1875,7.65625,8.15625,52000,RIO
1990-09-24,1.325201153755188,7.53125,7.75,7.5,7.625,16800,RIO
1990-10-01,1.5438212156295776,8.625,8.6875,7.53125,7.53125,61600,RIO
1990-10-08,1.48788583278656,8.3125,8.625,7.9375,8.625,12000,RIO
1990-10-15,1.4543250799179077,8.125,8.25,8.0,8.25,56000,RIO
1990-10-22,1.48788583278656,8.3125,8.40625,8.125,8.125,10000,RIO
1990-10-29,1.4375437498092651,8.03125,8.34375,7.9375,8.34375,81600,RIO
1990-11-05,1.4599182605743408,8.15625,8.1875,8.0,8.0,18400,RIO
1990-11-12,1.48788583278656,8.3125,8.34375,8.28125,8.34375,8000,RIO
1990-11-19,1.5773826837539673,8.8125,8.8125,8.40625,8.40625,44400,RIO
1990-11-26,1.5270410776138306,8.53125,8.96875,8.5,8.8125,68400,RIO
1990-12-03,1.5661954879760742,8.75,8.75,8.4375,8.5625,18800,RIO
1990-12-10,1.5773826837539673,8.8125,8.8125,8.6875,8.75,6400,RIO
1990-12-17,1.5550082921981812,8.6875,8.90625,8.6875,8.8125,89200,RIO
1990-12-24,1.5550082921981812,8.6875,8.6875,8.5625,8.5625,44400,RIO
1990-12-31,1.48788583278656,8.3125,8.6875,8.3125,8.6875,45600,RIO
1991-01-07,1.4934790134429932,8.34375,8.34375,8.1875,8.1875,11600,RIO
1991-01-14,1.4655113220214844,8.1875,8.1875,7.90625,8.03125,22800,RIO
1991-01-21,1.5158536434173584,8.46875,8.46875,7.875,8.125,115600,RIO
1991-01-28,1.6333180665969849,9.125,9.1875,8.53125,8.53125,49200,RIO
1991-02-04,1.65569269657135,9.25,9.40625,9.15625,9.34375,88000,RIO
1991-02-11,1.7340022325515747,9.6875,9.6875,9.375,9.375,38000,RIO
1991-02-18,1.7787507772445679,9.9375,10.09375,9.6875,9.6875,17200,RIO
1991-02-25,1.7955318689346313,10.03125,10.03125,9.78125,9.84375,44400,RIO
1991-03-04,1.8123114109039307,10.125,10.375,10.03125,10.03125,53200,RIO
1991-03-11,1.8234989643096924,10.1875,10.25,9.875,10.0625,28000,RIO
1991-03-18,1.7507818937301636,9.78125,10.0625,9.5625,10.0625,39200,RIO
1991-03-25,1.7451882362365723,9.75,9.8125,9.5625,9.625,37600,RIO
1991-04-01,1.8011237382888794,10.0625,10.375,9.75,9.75,30800,RIO
1991-04-08,1.8611431121826172,10.125,10.125,10.0625,10.0625,1200,RIO
1991-04-15,1.76923406124115,9.625,10.125,9.625,10.125,41200,RIO
1991-04-22,1.740513563156128,9.46875,9.53125,9.34375,9.5,56400,RIO
1991-04-29,1.746256947517395,9.5,9.5625,9.34375,9.34375,123600,RIO
1991-05-06,1.76923406124115,9.625,9.75,9.5,9.5,272000,RIO
1991-05-13,1.7003036737442017,9.25,9.71875,9.125,9.65625,434000,RIO
1991-05-20,1.6600934267044067,9.03125,9.1875,9.03125,9.1875,5200,RIO
1991-05-27,1.6773265600204468,9.125,9.1875,9.0625,9.125,45600,RIO
1991-06-03,1.7117919921875,9.3125,9.3125,9.09375,9.125,2800,RIO
1991-06-10,1.6773265600204468,9.125,9.53125,9.125,9.375,74000,RIO
1991-06-17,1.6888147592544556,9.1875,9.1875,8.9375,9.0625,13600,RIO
1991-06-24,1.6830707788467407,9.15625,9.34375,9.15625,9.25,21200,RIO
1991-07-01,1.7117919921875,9.3125,9.3125,9.0625,9.0625,5600,RIO
1991-07-08,1.792211890220642,9.75,9.75,9.375,9.375,83600,RIO
1991-07-15,1.7634907960891724,9.59375,9.875,9.5,9.8125,128000,RIO
1991-07-22,1.832422137260437,9.96875,9.96875,9.625,9.6875,52400,RIO
